epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,12131.3,1.12078,0.72102,0.94534,0.75583,0.64361,0.67668,0.44678,1.37535,3.85955,1.07356,0.00505,0.00505,0.00505
102,12253.7,1.12751,0.72593,0.94511,0.75476,0.64413,0.67696,0.44707,1.37488,3.86311,1.07348,0.0050005,0.0050005,0.0050005
103,12374.2,1.12283,0.72044,0.94599,0.75404,0.645,0.67738,0.44751,1.37451,3.85782,1.07342,0.004951,0.004951,0.004951
104,12491.3,1.1221,0.72419,0.94549,0.75435,0.64396,0.67708,0.44762,1.37518,3.85829,1.07353,0.0049015,0.0049015,0.0049015
105,12608.5,1.12375,0.72535,0.94775,0.75253,0.64548,0.67689,0.44768,1.37521,3.85686,1.07349,0.004852,0.004852,0.004852
106,12726.9,1.11279,0.71954,0.94503,0.75236,0.64592,0.67718,0.4476,1.37514,3.85693,1.07339,0.0048025,0.0048025,0.0048025
107,12842.8,1.11361,0.70662,0.94163,0.75166,0.64435,0.67664,0.44787,1.37546,3.84975,1.07341,0.004753,0.004753,0.004753
108,12958.7,1.1145,0.71535,0.9425,0.75227,0.64389,0.6767,0.44816,1.37548,3.84647,1.07337,0.0047035,0.0047035,0.0047035
109,13076.3,1.11962,0.7113,0.94381,0.75402,0.64303,0.67692,0.44818,1.3758,3.83916,1.07348,0.004654,0.004654,0.004654
110,13191.3,1.11403,0.71148,0.94238,0.7542,0.64265,0.67686,0.44849,1.37578,3.83629,1.07341,0.0046045,0.0046045,0.0046045
111,13309.6,1.10891,0.70365,0.94087,0.75733,0.64047,0.67684,0.44863,1.3754,3.83565,1.07338,0.004555,0.004555,0.004555
112,13427.6,1.10997,0.7061,0.94146,0.75592,0.64259,0.67695,0.44879,1.37541,3.8303,1.07333,0.0045055,0.0045055,0.0045055
113,13543.3,1.10611,0.70849,0.94146,0.75567,0.64284,0.67706,0.44919,1.37538,3.82929,1.07336,0.004456,0.004456,0.004456
114,13662.2,1.10633,0.70413,0.94105,0.75506,0.643,0.67708,0.4494,1.37509,3.82405,1.07303,0.0044065,0.0044065,0.0044065
115,13779,1.09857,0.69837,0.93944,0.75481,0.64205,0.67677,0.44926,1.37535,3.82397,1.07327,0.004357,0.004357,0.004357
116,13896.2,1.0994,0.69683,0.93922,0.75541,0.64305,0.67717,0.44936,1.37569,3.82192,1.07336,0.0043075,0.0043075,0.0043075
